"ref","core","lat_n","lon_e","water_depth","species","depth","age","d18o"
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",1,7.8494,2.45
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",2.5,7.971,2.48
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",3.5,8.0318,2.87
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",4.5,8.0926,2.9
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",5.5,8.1534,2.62
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",6.5,8.2142,2.71
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",7.5,8.275,2.54
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",8.5,8.3358,2.47
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",9.5,8.3966,2.68
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",10.5,8.4574,2.75
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",11.5,8.5182,2.61
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",12.5,8.579,2.6
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",13.5,8.6398,2.48
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",14.5,8.7006,2.54
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",15.5,8.7614,2.63
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",16.5,8.8222,2.75
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",17.5,8.883,2.61
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",18.5,8.9438,2.78
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",19.5,9.0046,2.77
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",20.5,9.0654,2.49
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",21.5,9.1262,2.74
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",22.5,9.187,2.76
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",23.5,9.2478,2.59
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",24.5,9.3086,2.8
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",25.5,9.3694,2.71
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",26.5,9.4302,2.82
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",27.5,9.491,2.64
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",28.5,9.5518,2.58
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",29.5,9.5518,2.56
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",30.5,9.6734,2.59
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",31.5,9.7342,2.3
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",32.5,9.795,2.46
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",33.5,9.8558,2.49
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",34.5,9.9166,2.66
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",35.5,9.9774,2.7
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",36.5,10.0382,2.78
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",37.5,10.099,2.59
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",38.5,10.1598,2.76
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",39.5,10.2206,2.72
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",40.5,10.2814,2.65
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",41.5,10.3422,3
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",42.5,10.403,2.97
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",43.5,10.4638,2.85
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",44.5,10.5246,2.96
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",45.5,10.5854,2.69
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",46.5,10.6462,2.96
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",47.5,10.707,3.02
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",48.5,10.7678,3.01
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",49.5,10.8286,2.88
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",50.5,10.8894,2.88
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",51.5,10.9502,2.87
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",52.5,11.011,3.07
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",53.5,11.0736,3.01
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",54.5,11.1341,3.06
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",55.5,11.1962,3.11
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",56.5,11.2578,3.05
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",57.5,11.2578,3.28
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",58.5,11.3197,3.21
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",59.5,11.4446,2.92
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",60.5,11.5068,3.06
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",61.5,11.5689,3.15
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",62.5,11.6311,3.27
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",63.5,11.6928,3.33
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",64.5,11.7566,3.27
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",65.5,11.8205,3.32
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",66.5,11.8835,3.48
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",67.5,11.945,3.5
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",68.5,12.0067,3.27
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",69.5,12.0685,3.52
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",70.5,12.1303,3.33
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",71.5,12.1922,3.5
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",72.5,12.2544,3.57
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",73.5,12.3163,3.57
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",74.5,12.3779,3.55
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",75.5,12.44,3.44
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",76.5,12.5019,3.38
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",77.5,12.5604,3.41
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",78.5,12.6205,3.56
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",79.5,12.6807,3.6
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",80.5,12.7405,3.56
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",81.5,12.8007,3.53
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",82.5,12.8585,3.48
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",83.5,12.918,3.41
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",84.5,12.9781,3.48
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",85.5,13.0389,3.6
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",86.5,13.0991,3.4
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",87.5,13.153,3.45
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",88.5,13.2065,3.33
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",89.5,13.2616,3.7
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",90.5,13.3164,3.38
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",91.5,13.3716,3.4
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",92.5,13.4103,3.38
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",93.5,13.449,3.45
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",94.5,13.4886,3.48
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",95.5,13.5278,3.41
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",96.5,13.5673,3.43
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",97.5,13.6055,3.52
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",98.5,13.6449,3.41
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",99.5,13.6843,3.31
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",100.5,13.7232,3.2
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",101.5,13.7622,3.43
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",102.5,13.7989,3.37
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",103.5,13.8361,3.34
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",104.5,13.8739,3.48
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",105.5,13.9115,3.37
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",106.5,13.9485,3.5
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",107.5,13.9863,3.52
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",108.5,14.0237,3.45
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",109.5,14.0606,3.57
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",110.5,14.0976,3.36
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",111.5,14.1345,3.5
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",112,14.1345,3.34
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",113.5,14.1719,3.32
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",114.5,14.2099,3.43
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",115.5,14.2476,3.54
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",116.5,14.2858,3.57
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",117.5,14.3628,3.52
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",118.5,14.4018,3.51
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",119.5,14.4406,3.54
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",120.5,14.4786,3.54
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",121.5,14.5171,3.61
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",122.5,14.5544,3.54
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",123.5,14.592,3.6
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",124.5,14.6297,3.75
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",125.5,14.6675,3.58
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",126.5,14.7054,3.68
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",127.5,14.7436,3.82
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",128.5,14.7816,3.77
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",129.5,14.8193,3.8
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",130.5,14.8571,3.89
"gebhardt2008","md01-2416",51.268,167.725,2300,"np",131.5,14.8949,3.62
